DATE,VA
2016-08-02,8333184.5
2016-08-03,7737215.1
2016-08-04,7488591.75
2016-08-05,6893551.05
2016-08-06,5236223.1
2016-08-07,5970157.9
2016-08-08,7711055.44
2016-08-09,7334509.3
2016-08-10,7062845.95
2016-08-11,6781444.66
2016-08-12,6107799.6
2016-08-13,4666739.75
2016-08-14,4678663.35
2016-08-15,5914739.45
2016-08-16,7146115.15
2016-08-17,7082271.1
2016-08-18,7067782.49
2016-08-19,6483885.55
2016-08-20,5190383.6
2016-08-21,6004704.6
2016-08-22,8261258.55
2016-08-23,7809613.25
2016-08-24,7595372.7
2016-08-25,7557430.95
2016-08-26,6878648.35
2016-08-27,4751406.45
2016-08-28,6081736.65
2016-08-29,9193348.4
2016-08-30,8938676.7
2016-08-31,8667551.15
2016-09-01,8969314.95
2016-09-02,8278620.2
2016-09-03,5311747.7
2016-09-04,7691985.35
2016-09-05,10750640.45
2016-09-06,9502834.9
2016-09-07,9317644.05
2016-09-08,9162501.18
2016-09-09,8544849.7
2016-09-10,5491614.1
2016-09-11,7899673.75
2016-09-12,10226479.35
2016-09-13,9647097.45
2016-09-14,9651526.4
2016-09-15,9025377.6
2016-09-16,8137072.35
2016-09-17,5739016.35
2016-09-18,8590112.55
2016-09-19,9759130.4
2016-09-20,8990595.15
2016-09-21,8746134.85
2016-09-22,8229640.95
2016-09-23,7518276.4
2016-09-24,4910595.45
2016-09-25,7772790.4
2016-09-26,9886687.5
2016-09-27,8874346.6
2016-09-28,9078290.6
2016-09-29,8613374.85
2016-09-30,8020791.3
2016-10-01,6017937.2
2016-10-02,8551573.1
2016-10-03,10667153.35
2016-10-04,9722050.9
2016-10-05,9808637.65
2016-10-06,9326444.45
2016-10-07,8334266.65
2016-10-08,5827985.35
2016-10-09,8885216.0
2016-10-10,10689648.85
2016-10-11,9271150.65
2016-10-12,9268926.45
2016-10-13,25325177.65
2016-10-14,10644684.45
2016-10-15,7480282.6
2016-10-16,10849467.8
2016-10-17,12242034.85
2016-10-18,10768146.2
2016-10-19,9975963.85
2016-10-20,10576672.2
2016-10-21,8561544.8
2016-10-22,7023582.6
2016-10-23,9352100.95
2016-10-24,11065033.4
2016-10-25,9960232.8
2016-10-26,9611317.05
2016-10-27,9222519.65
2016-10-28,8382447.2
2016-10-29,5583816.4
2016-10-30,6544727.45
2016-10-31,8066126.3
2016-11-01,9422693.7
2016-11-02,11062789.0
2016-11-03,9893894.5
2016-11-04,16400006.25
2016-11-05,7646329.95
2016-11-06,10267364.8
2016-11-07,11693592.55
2016-11-08,10142917.6
2016-11-09,9395731.7
2016-11-10,9103565.2
2016-11-11,6931820.05
2016-11-12,5737258.9
2016-11-13,9021254.75
2016-11-14,11116869.85
2016-11-15,9878591.0
2016-11-16,9449675.85
2016-11-17,8841429.1
2016-11-18,8172008.2
2016-11-19,5849262.0
2016-11-20,8994281.7
2016-11-21,10807987.65
2016-11-22,9661973.85
2016-11-23,9339694.25
2016-11-24,8784182.85
2016-11-25,8283608.25
2016-11-26,5967762.0
2016-11-27,9018759.0
2016-11-28,11147194.95
2016-11-29,10766034.5
2016-11-30,10102655.49
2016-12-01,9725809.25
2016-12-02,8878073.6
2016-12-03,6368523.05
2016-12-04,9741446.65
2016-12-05,11463347.2
2016-12-06,10594196.75
2016-12-07,9820628.2
2016-12-08,8987008.8
2016-12-09,8179511.1
2016-12-10,6187066.45
2016-12-11,9550393.4
2016-12-12,10740443.95
2016-12-13,9251161.8
2016-12-14,8691759.4
2016-12-15,7833801.85
2016-12-16,7701966.45
2016-12-17,6207026.75
2016-12-18,7860303.25
2016-12-19,9230399.6
2016-12-20,7652107.95
2016-12-21,7127443.4
2016-12-22,6745192.3
2016-12-23,6026939.6
2016-12-24,3890582.2
2016-12-25,4918535.3
2016-12-26,7928539.65
2016-12-27,7560962.75
2016-12-28,7448835.15
2016-12-29,7117505.4
2016-12-30,6408011.35
2016-12-31,4304850.25
2017-01-01,5994479.95
2017-01-02,10583417.95
2017-01-03,13512652.75
2017-01-04,10941575.6
2017-01-05,9887789.95
2017-01-06,9334403.2
2017-01-07,6803521.45
2017-01-08,9488140.1
2017-01-09,11438962.0
2017-01-10,10212269.96
2017-01-11,9922501.61
2017-01-12,9701778.1
2017-01-13,8695717.55
2017-01-14,6241968.3
2017-01-15,9375794.7
2017-01-16,10983107.3
2017-01-17,9660396.2
2017-01-18,9730118.85
2017-01-19,9178434.65
2017-01-20,8180763.05
2017-01-21,5951390.7
2017-01-22,9148523.75
2017-01-23,10894005.05
2017-01-24,9978242.9
2017-01-25,9913747.95
2017-01-26,8201146.5
2017-01-27,7707029.2
2017-01-28,5839021.5
2017-01-29,8551900.5
2017-01-30,10255618.95
2017-01-31,9521229.15
2017-02-01,9732312.75
2017-02-02,9799884.25
2017-02-03,8540663.7
2017-02-04,6555638.8
2017-02-05,9357015.05
2017-02-06,10566857.8
2017-02-07,9362060.25
2017-02-08,9507069.5
2017-02-09,9043663.35
2017-02-10,8337653.8
2017-02-11,6124299.2
2017-02-12,8522802.4
2017-02-13,10209544.7
2017-02-14,8993664.1
2017-02-15,8878973.05
2017-02-16,8399109.55
2017-02-17,7746828.95
2017-02-18,5649478.75
2017-02-19,7775511.25
2017-02-20,10021491.05
2017-02-21,9231098.95
2017-02-22,8859908.1
2017-02-23,8262877.05
2017-02-24,8307338.95
2017-02-25,6145841.35
2017-02-26,8660146.6
2017-02-27,10620212.05
2017-02-28,11926001.65
2017-03-01,11175096.2
2017-03-02,10234287.25
2017-03-03,9447690.25
2017-03-04,7455094.2
2017-03-05,11187491.6
2017-03-06,11809660.4
2017-03-07,11508147.35
2017-03-08,10802266.1
2017-03-09,10142886.05
2017-03-10,8924145.05
2017-03-11,6383262.25
2017-03-12,10046002.85
2017-03-13,12425632.65
2017-03-14,10526225.45
2017-03-15,13388015.4
2017-03-16,10181597.8
2017-03-17,8885361.75
2017-03-18,7616318.5
2017-03-19,10612908.15
2017-03-20,12048847.0
2017-03-21,10575661.7
2017-03-22,10545813.4
2017-03-23,10019928.48
2017-03-24,9063336.15
2017-03-25,7034534.1
2017-03-26,9862516.8
2017-03-27,12132689.8
2017-03-28,10980789.05
2017-03-29,11076121.95
2017-03-30,16308560.15
2017-03-31,11058689.6
2017-04-01,8849987.2
2017-04-02,11808409.85
2017-04-03,13001099.3
2017-04-04,11987489.25
2017-04-05,11810419.85
2017-04-06,10630534.9
2017-04-07,9827003.85
2017-04-08,7142411.6
2017-04-09,9169547.35
2017-04-10,12065829.05
2017-04-11,10446719.3
2017-04-12,9989960.85
2017-04-13,9573161.5
2017-04-14,8738836.0
2017-04-15,5828846.45
2017-04-16,5767386.1
2017-04-17,9037286.45
2017-04-18,9029363.13
2017-04-19,9977744.65
2017-04-20,9358934.25
2017-04-21,8426613.95
2017-04-22,6451962.7
2017-04-23,7898758.85
2017-04-24,11298165.9
2017-04-25,10617806.45
2017-04-26,10081103.9
2017-04-27,9402972.25
2017-04-28,8936336.9
2017-04-29,5725431.75
2017-04-30,6559294.1
2017-05-01,10334110.8
2017-05-02,11550950.2
2017-05-03,10887181.16
2017-05-04,10200467.2
2017-05-05,9286096.5
2017-05-06,6601156.6
2017-05-07,6189053.8
2017-05-08,9457747.94
2017-05-09,11359689.0
2017-05-10,10575058.6
2017-05-11,10251796.4
2017-05-12,9253338.2
2017-05-13,6274330.65
2017-05-14,8819620.65
2017-05-15,11384882.3
2017-05-16,10339396.25
2017-05-17,9815422.55
2017-05-18,9548000.0
2017-05-19,8559513.6
2017-05-20,6249863.25
